"Winner","B_avg_SUB_ATT","B_avg_TD_att","B_avg_HEAD_landed","B_avg_BODY_landed","B_avg_LEG_landed","B_avg_GROUND_landed","B_avg_CTRL_time.seconds.","B_age","R_avg_SUB_ATT","R_avg_TD_att","R_avg_HEAD_landed","R_avg_BODY_landed","R_avg_LEG_landed","R_avg_GROUND_landed","R_avg_CTRL_time.seconds.","R_age"
"Red",0.000274658,4.262573242,28.83969116,10.01242065,13.78115845,1.176513672,109.2220764,28,0.46875,6.0234375,30.2265625,9.359375,12.109375,4.322265625,148.0664063,32
"Red",0.125,8.75,45.625,10.625,3.75,4.375,442.125,28,1.59375,7.25,37.71875,4.15625,1.09375,14.34375,326.15625,28
"Red",0,6.484375,49.015625,13.171875,4.78125,7.640625,182.046875,30,0,2.12109375,28.11328125,12.1015625,13.8515625,2.12890625,66.8828125,31
"Red",0.0625,3.5,42.75,14.25,5.4375,8.578125,123.90625,28,0,0.625,37.15625,10.546875,6.328125,5.390625,4.359375,32
"Blue",0,2.75,22.5,9.375,6.5,1.875,18,36,0.134765625,2.552734375,21.10742188,14.04492188,13.84960938,1.912109375,101.3261719,33
"Red",0.00201416,0.286682129,31.23913574,11.40789795,3.176635742,0.773925781,4.504882813,33,0.0625,2.65625,43.96875,12.71875,2.96875,10.5,77.96875,27
"Red",0.134338379,0.08032608,109.0204706,30.13496399,9.237434864,1.469658375,7.322590351,28,0.1875,3.890625,52.890625,14.2578125,52.515625,3.1875,129.8984375,31
"Red",0.005020142,0.888549805,44.62592316,15.74547577,6.49861145,21.38580322,217.3645782,35,0.004882813,4.452148438,88.66601563,51.72753906,5.666015625,24.27734375,465.0205078,33
"Blue",0.0625,0,10.375,2.5625,5.125,0.25,32.6875,33,0,0.272521973,29.63891602,4.384643555,5.402038574,0.236083984,2.161621094,34
"Red",0.390625,3.828125,26.28125,2,3.53125,6.171875,180.484375,28,0,0.8515625,22.31591797,5.579101563,8.395507813,2.051269531,77.12597656,28
